fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.948,0.872,0.935,0.934,0.889,0.928,0.939,0.99,100671,29989,279.0,3261,3894,10798,148893.0,0.047,19.0,56.0,2.0,2.0
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.964,0.9,0.892,0.928,0.912,0.92,0.958,0.99,31433,3778,422.0,2092,1243,5155,44122.0,0.028,4.0,68.0,4.0,1.0
20,KS,Kansas,Social and Economic Factors,2021,34.7,36.0,0.958,0.895,0.859,0.939,0.882,0.933,0.949,0.99,31850,7020,1166.0,1894,3008,7915,52852.0,0.037,11.0,49.0,4.0,1.0
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.937,0.881,0.849,0.954,0.857,0.935,0.932,0.99,83294,16800,512.0,938,3214,3479,108236.0,0.055,29.0,29.0,4.0,3.0
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32.0,0.946,0.887,0.921,0.944,0.891,0.936,0.928,0.99,51409,60948,604.0,1694,2302,5445,122402.0,0.059,35.0,50.0,2.0,4.0
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.952,0.854,0.906,0.967,0.864,0.953,0.949,0.99,21911,889,262.0,141,1202,319,24724.0,0.037,12.0,43.0,5.0,1.0
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.952,0.91,0.882,0.947,0.913,0.938,0.938,0.99,55103,66700,595.0,7714,4386,13751,148249.0,0.049,22.0,59.0,2.0,3.0
25,MA,Massachusetts,Social and Economic Factors,2021,33.0,32.0,0.948,0.895,0.887,0.928,0.907,0.902,0.938,0.99,100697,20850,412.0,12843,4143,29097,168041.0,0.048,21.0,55.0,2.0,3.0
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.941,0.84,0.907,0.935,0.863,0.914,0.926,0.99,164536,85167,1548.0,7243,9818,15234,283547.0,0.061,40.0,29.0,4.0,4.0
27,MN,Minnesota,Social and Economic Factors,2021,25.0,25.0,0.965,0.883,0.838,0.932,0.927,0.919,0.956,0.99,50715,14777,3050.0,6994,2818,8897,87250.0,0.03,5.0,43.0,5.0,1.0
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.94,0.872,0.881,0.948,0.872,0.907,0.914,0.99,35094,52834,536.0,536,1048,2884,92932.0,0.072,47.0,27.0,2.0,5.0
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.951,0.881,0.883,0.957,0.906,0.936,0.942,0.99,83928,33520,1154.0,1696,3582,5450,129330.0,0.045,16.0,55.0,3.0,2.0
30,MT,Montana,Social and Economic Factors,2021,38.6,42.2,0.961,0.906,0.829,0.958,0.941,0.935,0.953,0.99,11172,196,3679.0,136,404,805,16392.0,0.033,9.0,49.0,5.0,1.0
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.97,0.916,0.852,0.917,0.939,0.921,0.962,0.99,12758,2826,774.0,1445,660,5588,24051.0,0.025,2.0,59.0,5.0,1.0
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.929,0.853,0.853,0.928,0.891,0.92,0.919,0.99,40843,14561,1518.0,7251,3548,25348,93069.0,0.067,46.0,26.0,3.0,5.0
33,NH,New Hampshire,Social and Economic Factors,2021,41.5,45.0,0.955,0.923,0.861,0.942,0.947,0.924,0.953,0.99,20496,481,147.0,805,321,1368,23619.0,0.033,8.0,66.0,3.0,1.0
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.942,0.879,0.87,0.944,0.889,0.927,0.931,0.99,113818,58578,420.0,18115,5410,50681,247022.0,0.056,31.0,43.0,3.0,4.0
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.941,0.903,0.83,0.949,0.891,0.916,0.92,0.99,16928,1487,11037.0,564,1245,30016,61277.0,0.067,45.0,25.0,3.0,5.0
36,NY,New York,Social and Economic Factors,2021,43.0,43.0,0.949,0.889,0.844,0.938,0.905,0.91,0.932,0.99,205477,123137,2435.0,38134,10916,128142,508241.0,0.054,27.0,39.0,3.0,3.0
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21.0,0.942,0.883,0.892,0.939,0.882,0.927,0.927,0.99,137752,100757,4045.0,6357,7435,23783,280128.0,0.059,36.0,45.0,2.0,4.0
38,ND,North Dakota,Social and Economic Factors,2021,41.2,45.7,0.977,0.956,0.904,0.969,0.951,0.965,0.973,0.99,3376,296,1127.0,100,223,242,5365.0,0.014,1.0,100.0,2.0,1.0
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.947,0.857,0.852,0.943,0.87,0.914,0.934,0.99,182170,82368,978.0,5062,10899,13135,294612.0,0.052,26.0,27.0,5.0,3.0
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.951,0.894,0.913,0.948,0.908,0.942,0.941,0.99,42832,11060,8457.0,1622,7926,7210,79106.0,0.045,17.0,65.0,2.0,2.0
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.947,0.861,0.877,0.935,0.88,0.884,0.934,0.99,192546,70640,705.0,10288,7786,36566,318530.0,0.052,25.0,35.0,4.0,3.0
45,SC,South Carolina,Social and Economic Factors,2021,21.0,24.5,0.942,0.881,0.863,0.937,0.896,0.934,0.925,0.99,65393,61690,797.0,1779,2563,6255,138476.0,0.062,41.0,39.0,2.0,4.0
46,SD,South Dakota,Social and Economic Factors,2021,44.0,39.6,0.974,0.954,0.764,0.934,0.89,0.942,0.959,0.99,4848,237,5165.0,308,791,568,11917.0,0.027,3.0,0.0,5.0,1.0
51,VA,Virginia,Social and Economic Factors,2021,22.3,23.4,0.953,0.909,0.938,0.948,0.907,0.943,0.943,0.99,88495,58311,430.0,10637,7164,16143,181180.0,0.044,15.0,70.0,2.0,2.0
53,WA,Washington,Social and Economic Factors,2021,30.7,32.0,0.944,0.91,0.861,0.944,0.897,0.928,0.938,0.99,106018,9592,4017.0,13616,11263,22732,167238.0,0.048,20.0,52.0,3.0,2.0
55,WI,Wisconsin,Social and Economic Factors,2021,38.1,37.5,0.962,0.859,0.922,0.943,0.902,0.933,0.954,0.99,61417,18603,1333.0,3193,3208,8847,96602.0,0.033,7.0,60.0,4.0,1.0
56,WY,Wyoming,Social and Economic Factors,2021,33.8,28.2,0.955,0.892,0.843,0.94,0.921,0.936,0.95,0.99,7960,286,659.0,139,305,1268,10617.0,0.036,10.0,50.0,4.0,1.0
