fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.745,0.524,0.527,0.688,0.666,0.584,0.694,0.87,387437,206140,2037,36744,9621,147407,789385,0.175,35,38,4,4
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.787,0.561,0.694,0.776,0.649,0.672,0.761,0.87,159924,61793,908,3332,5385,20222,251564,0.108,8,62,3,2
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.801,0.571,0.612,0.742,0.686,0.719,0.789,0.87,70415,8943,770,2540,1672,6073,90414,0.079,3,52,4,1
20,KS,Kansas,Social and Economic Factors,2021,34.7,36,0.79,0.591,0.698,0.792,0.674,0.705,0.771,0.87,66306,15064,1236,1659,2969,12624,99859,0.098,7,73,3,1
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.767,0.609,0.669,0.72,0.676,0.667,0.751,0.87,139099,31498,678,2586,3232,6929,184021,0.117,12,74,3,2
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32,0.794,0.573,0.715,0.737,0.676,0.638,0.721,0.87,74657,134980,1263,2899,3060,14276,231135,0.147,24,68,2,3
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.722,0.522,0.683,0.657,0.67,0.627,0.718,0.87,73049,1230,491,871,1452,1317,78409,0.15,27,56,3,3
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.743,0.602,0.668,0.689,0.637,0.571,0.687,0.87,150160,159091,924,19836,7711,38934,376656,0.181,37,63,2,4
25,MA,Massachusetts,Social and Economic Factors,2021,33,32,0.693,0.513,0.41,0.662,0.6,0.499,0.663,0.87,338361,50993,1217,25988,7981,76798,501338,0.205,39,0,4,5
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.761,0.556,0.688,0.763,0.622,0.694,0.731,0.87,309927,144576,2852,8835,12351,20181,498722,0.138,20,64,3,2
27,MN,Minnesota,Social and Economic Factors,2021,25,25,0.775,0.504,0.657,0.733,0.633,0.602,0.752,0.87,164026,35057,3423,9038,5888,17030,234462,0.116,11,33,4,2
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.798,0.606,0.674,0.703,0.58,0.691,0.726,0.87,43191,91621,768,1432,1971,3410,142394,0.142,22,64,3,3
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.772,0.573,0.664,0.745,0.668,0.691,0.746,0.87,176625,70700,1946,4096,5810,10604,269780,0.122,14,69,3,2
30,MT,Montana,Social and Economic Factors,2021,38.6,42.2,0.74,,0.76,0.71,0.658,0.683,0.737,0.87,44727,,1746,416,1184,1550,,,,,,
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.791,0.565,0.664,0.742,0.689,0.694,0.773,0.87,45130,8709,728,1379,1350,8009,65304,0.096,6,63,3,1
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.698,0.495,0.692,0.704,0.635,0.611,0.663,0.87,102658,29842,1482,12092,4968,51484,202526,0.206,40,50,2,5
33,NH,New Hampshire,Social and Economic Factors,2021,41.5,45,0.702,0.545,,0.63,0.633,0.56,0.695,0.87,78069,1631,,2396,1148,3447,,,,,,
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.659,0.501,0.455,0.692,0.551,0.483,0.613,0.87,403681,140543,1548,43720,10367,183407,783266,0.255,45,16,3,5
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.745,0.658,0.766,0.75,0.721,0.672,0.715,0.87,41933,2818,4553,1056,1205,56171,107735,0.154,29,82,1,3
36,NY,New York,Social and Economic Factors,2021,43,43,0.685,0.498,0.608,0.553,0.566,0.468,0.617,0.87,794700,343587,4003,149861,25469,412220,1729840,0.252,44,29,3,5
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21,0.767,0.584,0.708,0.76,0.631,0.611,0.718,0.87,251073,209931,5463,8446,9987,53590,538491,0.151,28,64,3,3
38,ND,North Dakota,Social and Economic Factors,2021,41.2,45.7,0.816,0.623,0.726,0.7,0.76,0.719,0.805,0.87,12663,1220,1484,420,387,888,17062,0.063,1,79,3,1
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.769,0.574,0.605,0.75,0.649,0.643,0.741,0.87,352786,149180,1838,8384,12073,24135,548397,0.127,15,56,3,2
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.779,0.601,0.734,0.733,0.744,0.687,0.755,0.87,87874,24875,10784,2991,8022,15657,150203,0.113,10,82,2,2
41,OR,Oregon,Social and Economic Factors,2022,13.1,,0.678,0.473,0.578,0.689,0.6,0.586,0.665,0.87,233876,9066,3465,9572,9685,32773,298436,0.204,38,39,3,5
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.749,0.566,0.56,0.7,0.622,0.531,0.719,0.87,460115,133797,1886,20195,10833,73515,700340,0.149,25,31,4,3
44,RI,Rhode Island,Social and Economic Factors,2021,50,,0.677,0.536,0.569,0.633,0.677,0.537,0.654,0.87,59474,6170,422,2314,919,13409,82708,0.214,41,47,2,5
45,SC,South Carolina,Social and Economic Factors,2021,21,24.5,0.774,0.608,0.687,0.726,0.65,0.645,0.725,0.87,111347,113307,933,2986,3566,13898,246037,0.143,23,73,2,3
46,SD,South Dakota,Social and Economic Factors,2021,44,39.6,0.801,0.726,0.641,0.706,0.722,0.667,0.787,0.87,18531,580,3524,470,661,1233,25000,0.081,4,79,3,1
47,TN,Tennessee,Social and Economic Factors,2021,47.2,,0.768,0.585,0.75,0.714,0.648,0.605,0.732,0.87,183850,103867,706,4729,6171,20187,319510,0.137,18,65,3,2
48,TX,Texas,Social and Economic Factors,2021,20.3,,0.773,0.604,0.737,0.741,0.68,0.67,0.718,0.87,429351,281169,3057,46497,20115,526238,1306427,0.15,26,76,1,3
49,UT,Utah,Social and Economic Factors,2014,46,,0.771,0.494,0.712,0.7,0.683,0.614,0.749,0.87,70492,2901,1132,3880,1693,22620,102718,0.119,13,42,4,2
50,VT,Vermont,Social and Economic Factors,2021,43.8,45,0.678,,,0.604,0.581,0.616,0.674,0.87,43680,,,662,996,768,,,,,,
51,VA,Virginia,Social and Economic Factors,2021,22.3,23.4,0.76,0.592,0.658,0.707,0.659,0.588,0.714,0.87,217139,146294,1369,24273,10525,49850,449450,0.154,30,64,2,3
53,WA,Washington,Social and Economic Factors,2021,30.7,32,0.706,0.522,0.656,0.68,0.629,0.614,0.688,0.87,323610,29959,5300,35764,17316,51307,463257,0.18,36,56,2,4
54,WV,West Virginia,Social and Economic Factors,2021,29.3,24,0.801,0.629,0.656,0.759,0.654,0.68,0.793,0.87,42127,5195,312,492,1293,1271,50689,0.076,2,64,4,1
55,WI,Wisconsin,Social and Economic Factors,2021,38.1,37.5,0.753,0.49,0.674,0.737,0.664,0.609,0.731,0.87,218448,42336,3007,4934,4155,23129,296009,0.137,19,43,4,2
56,WY,Wyoming,Social and Economic Factors,2021,33.8,28.2,0.79,0.735,0.789,0.729,0.731,0.706,0.782,0.87,14492,219,208,189,421,2358,17888,0.086,5,100,1,1
