fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
15,HI,Hawaii,livinc,Social and Economic Factors, 0.708 , 0.660 , 0.547 , 0.721 , 0.707 , 0.607 , 0.706 ,0.88,42019,3671,695,78589,25396,19624,169995, 0.173 ,7,94,1,1,,,,,,,,,,, 0.491 , 0.617 , 0.708 , 0.839 ,31976,71433,53513,12611,169532, 0.172 ,7
16,ID,Idaho,livinc,Social and Economic Factors, 0.606 , 0.446 , 0.381 , 0.616 , 0.498 , 0.372 , 0.580 ,0.88,251090,2452,5784,4382,5020,49546,318274, 0.299 ,39,45,3,4,,,,,,,,,,, 0.333 , 0.487 , 0.586 , 0.762 ,56719,114466,112513,33138,316836, 0.297 ,40
17,IL,Illinois,livinc,Social and Economic Factors, 0.721 , 0.451 , 0.478 , 0.716 , 0.613 , 0.472 , 0.650 ,0.88,905922,491262,5355,76938,19185,483144,1981805, 0.229 ,21,63,3,2,,,,,,,,,,, 0.333 , 0.541 , 0.650 , 0.844 ,540455,770602,568913,98912,1978882, 0.228 ,22
18,IN,Indiana,livinc,Social and Economic Factors, 0.642 , 0.414 , 0.431 , 0.609 , 0.469 , 0.422 , 0.609 ,0.88,863049,171070,4672,22524,15113,100655,1177085, 0.269 ,31,49,3,4,,,,,,,,,,, 0.318 , 0.547 , 0.617 , 0.816 ,286058,489365,333672,68809,1177904, 0.270 ,32
19,IA,Iowa,livinc,Social and Economic Factors, 0.677 , 0.350 , 0.352 , 0.608 , 0.496 , 0.438 , 0.655 ,0.88,375006,29283,2842,11859,5351,36966,461308, 0.223 ,17,31,5,2,,,,,,,,,,, 0.352 , 0.575 , 0.657 , 0.832 ,88717,197639,149244,26774,462375, 0.224 ,18
20,KS,Kansas,livinc,Social and Economic Factors, 0.681 , 0.445 , 0.456 , 0.665 , 0.527 , 0.426 , 0.642 ,0.88,302081,43835,6134,11220,8689,73475,445434, 0.236 ,23,56,4,3,,,,,,,,,,, 0.346 , 0.536 , 0.621 , 0.837 ,95394,169396,155197,25416,445403, 0.236 ,24
21,KY,Kentucky,livinc,Social and Economic Factors, 0.569 , 0.400 , 0.335 , 0.602 , 0.484 , 0.388 , 0.552 ,0.88,810206,103648,3608,11237,9849,37456,976004, 0.327 ,45,38,3,5,,,,,,,,,,, 0.251 , 0.482 , 0.579 , 0.811 ,277304,391550,258246,47078,974179, 0.326 ,46
22,LA,Louisiana,livinc,Social and Economic Factors, 0.643 , 0.368 , 0.485 , 0.592 , 0.513 , 0.457 , 0.551 ,0.88,458562,464783,7476,16014,9227,57331,1013393, 0.327 ,46,48,2,5,,,,,,,,,,, 0.267 , 0.485 , 0.585 , 0.804 ,297229,411966,245632,53947,1008774, 0.326 ,47
23,ME,Maine,livinc,Social and Economic Factors, 0.622 , 0.370 , 0.437 , 0.602 , 0.461 , 0.519 , 0.616 ,0.88,235052,4574,2478,2796,3818,3883,252601, 0.263 ,28,51,3,3,,,,,,,,,,, 0.282 , 0.505 , 0.631 , 0.801 ,45107,115931,70157,22456,253651, 0.264 ,30
24,MD,Maryland,livinc,Social and Economic Factors, 0.787 , 0.656 , 0.686 , 0.766 , 0.722 , 0.561 , 0.729 ,0.88,207900,259639,1955,30223,8368,102682,610766, 0.149 ,2,100,1,1,,,,,,,,,,, 0.421 , 0.618 , 0.729 , 0.884 ,191104,267961,157791,0,616855, 0.151 ,2
25,MA,Massachusetts,livinc,Social and Economic Factors, 0.762 , 0.557 , 0.506 , 0.700 , 0.625 , 0.432 , 0.714 ,0.88,425246,95491,3043,51934,11664,187060,774439, 0.165 ,4,70,4,1,,,,,,,,,,, 0.373 , 0.599 , 0.701 , 0.866 ,231751,325504,196085,25042,778382, 0.165 ,4
26,MI,Michigan,livinc,Social and Economic Factors, 0.656 , 0.414 , 0.471 , 0.687 , 0.459 , 0.452 , 0.615 ,0.88,1183044,398621,14784,35857,32329,103463,1768097, 0.263 ,29,52,3,3,,,,,,,,,,, 0.307 , 0.512 , 0.618 , 0.828 ,375389,719912,576108,95500,1766909, 0.263 ,29
27,MN,Minnesota,livinc,Social and Economic Factors, 0.741 , 0.387 , 0.330 , 0.638 , 0.585 , 0.424 , 0.703 ,0.88,434379,86005,18176,37222,11176,63093,650051, 0.176 ,8,27,5,1,,,,,,,,,,, 0.343 , 0.596 , 0.696 , 0.863 ,143033,265281,219939,20560,648814, 0.175 ,8
28,MS,Mississippi,livinc,Social and Economic Factors, 0.606 , 0.338 , 0.299 , 0.548 , 0.438 , 0.363 , 0.504 ,0.88,325446,364604,4996,6760,5115,25164,732086, 0.374 ,50,25,3,5,,,,,,,,,,, 0.235 , 0.425 , 0.542 , 0.772 ,209423,269519,208462,44531,731935, 0.374 ,51
29,MO,Missouri,livinc,Social and Economic Factors, 0.633 , 0.434 , 0.477 , 0.622 , 0.486 , 0.472 , 0.604 ,0.88,836484,191929,6971,20398,17978,50263,1124023, 0.274 ,32,58,2,4,,,,,,,,,,, 0.295 , 0.513 , 0.606 , 0.821 ,258041,463387,335798,66769,1123994, 0.274 ,34
30,MT,Montana,livinc,Social and Economic Factors, 0.625 , 0.374 , 0.350 , 0.575 , 0.460 , 0.503 , 0.604 ,0.88,160778,1380,18127,1622,4545,6808,193260, 0.274 ,33,42,4,4,,,,,,,,,,, 0.336 , 0.514 , 0.586 , 0.777 ,26804,75304,67809,22026,191943, 0.273 ,33
31,NE,Nebraska,livinc,Social and Economic Factors, 0.696 , 0.403 , 0.322 , 0.571 , 0.509 , 0.398 , 0.655 ,0.88,190157,23960,4705,8229,3873,45235,276158, 0.224 ,18,29,5,2,,,,,,,,,,, 0.321 , 0.561 , 0.655 , 0.834 ,62700,104572,92854,16860,276986, 0.224 ,20
32,NV,Nevada,livinc,Social and Economic Factors, 0.668 , 0.447 , 0.473 , 0.642 , 0.602 , 0.446 , 0.594 ,0.88,236100,67739,6903,44075,10887,192978,558682, 0.284 ,35,58,2,4,,,,,,,,,,, 0.350 , 0.528 , 0.620 , 0.783 ,147454,195169,172403,44469,559496, 0.284 ,36
33,NH,New Hampshire,livinc,Social and Economic Factors, 0.741 , 0.483 , 0.570 , 0.690 , 0.540 , 0.573 , 0.730 ,0.88,120472,3770,608,4264,2701,7309,139123, 0.148 ,1,76,4,1,,,,,,,,,,, 0.439 , 0.644 , 0.717 , 0.865 ,29550,61652,43850,4659,139710, 0.149 ,1
34,NJ,New Jersey,livinc,Social and Economic Factors, 0.790 , 0.560 , 0.424 , 0.798 , 0.680 , 0.503 , 0.711 ,0.88,327741,240780,3826,47824,10735,398845,1029752, 0.167 ,5,68,4,1,,,,,,,,,,, 0.399 , 0.607 , 0.713 , 0.876 ,319795,467667,236608,5840,1029910, 0.167 ,5
35,NM,New Mexico,livinc,Social and Economic Factors, 0.649 , 0.505 , 0.329 , 0.622 , 0.621 , 0.444 , 0.533 ,0.88,141607,9243,60439,5819,3646,257223,477977, 0.346 ,48,39,2,5,,,,,,,,,,, 0.227 , 0.446 , 0.548 , 0.775 ,135210,157726,144885,38570,476391, 0.345 ,49
36,NY,New York,livinc,Social and Economic Factors, 0.724 , 0.535 , 0.500 , 0.593 , 0.595 , 0.462 , 0.641 ,0.88,1247726,659281,14221,338700,41065,949365,3250357, 0.238 ,24,69,2,3,,,,,,,,,,, 0.322 , 0.534 , 0.657 , 0.835 ,1054350,1238665,742100,207458,3242573, 0.237 ,25
37,NC,North Carolina,livinc,Social and Economic Factors, 0.652 , 0.433 , 0.411 , 0.665 , 0.512 , 0.321 , 0.582 ,0.88,1048505,613566,34438,39185,23657,252078,2011428, 0.296 ,38,39,4,4,,,,,,,,,,, 0.251 , 0.472 , 0.588 , 0.818 ,558489,720925,608624,121773,2009811, 0.296 ,39
38,ND,North Dakota,livinc,Social and Economic Factors, 0.723 , 0.537 , 0.368 , 0.520 , 0.631 , 0.529 , 0.697 ,0.88,67240,3275,10026,2371,1168,3950,88032, 0.182 ,9,56,5,1,,,,,,,,,,, 0.393 , 0.627 , 0.705 , 0.831 ,18200,33142,30531,6643,88516, 0.182 ,9
39,OH,Ohio,livinc,Social and Economic Factors, 0.654 , 0.411 , 0.419 , 0.671 , 0.481 , 0.434 , 0.619 ,0.88,1464941,413962,7299,33719,30777,93994,2044691, 0.259 ,26,48,4,3,,,,,,,,,,, 0.299 , 0.539 , 0.622 , 0.839 ,467081,899767,587533,85914,2040295, 0.259 ,27
40,OK,Oklahoma,livinc,Social and Economic Factors, 0.616 , 0.407 , 0.461 , 0.625 , 0.520 , 0.381 , 0.571 ,0.88,485150,82194,78721,14011,34196,93940,788212, 0.309 ,43,48,2,5,,,,,,,,,,, 0.289 , 0.484 , 0.592 , 0.793 ,187786,316805,228147,54470,787208, 0.308 ,44
41,OR,Oregon,livinc,Social and Economic Factors, 0.640 , 0.424 , 0.467 , 0.656 , 0.508 , 0.406 , 0.611 ,0.88,544978,20878,12194,28310,20824,121037,748221, 0.267 ,30,53,3,4,,,,,,,,,,, 0.321 , 0.501 , 0.603 , 0.789 ,152668,247291,266433,81248,747640, 0.267 ,31
42,PA,Pennsylvania,livinc,Social and Economic Factors, 0.686 , 0.442 , 0.457 , 0.641 , 0.552 , 0.385 , 0.644 ,0.88,1386088,373926,5238,66743,23045,226316,2081355, 0.234 ,22,52,4,2,,,,,,,,,,, 0.325 , 0.553 , 0.664 , 0.845 ,497660,1030033,461394,90184,2079271, 0.234 ,23
44,RI,Rhode Island,livinc,Social and Economic Factors, 0.715 , 0.454 , 0.393 , 0.648 , 0.625 , 0.380 , 0.660 ,0.88,94361,15821,1366,5290,2074,41036,159948, 0.219 ,15,47,5,2,,,,,,,,,,, 0.353 , 0.572 , 0.662 , 0.848 ,48515,62310,41846,7326,159998, 0.219 ,16
45,SC,South Carolina,livinc,Social and Economic Factors, 0.652 , 0.395 , 0.453 , 0.603 , 0.469 , 0.361 , 0.572 ,0.88,510008,407657,5248,14205,10950,72619,1020687, 0.307 ,40,43,3,4,,,,,,,,,,, 0.253 , 0.469 , 0.601 , 0.811 ,279795,400945,277864,60668,1019271, 0.306 ,41
46,SD,South Dakota,livinc,Social and Economic Factors, 0.675 , 0.301 , 0.215 , 0.482 , 0.485 , 0.411 , 0.629 ,0.88,99562,4838,23773,2767,2298,6412,139650, 0.249 ,25,0,5,3,,,,,,,,,,, 0.323 , 0.553 , 0.633 , 0.800 ,26703,55583,45617,12331,140233, 0.250 ,26
47,TN,Tennessee,livinc,Social and Economic Factors, 0.605 , 0.445 , 0.464 , 0.670 , 0.478 , 0.349 , 0.571 ,0.88,954419,296669,5331,16001,16152,89301,1377873, 0.308 ,42,45,3,4,,,,,,,,,,, 0.260 , 0.475 , 0.607 , 0.814 ,373457,589008,339122,75720,1377307, 0.308 ,43
48,TX,Texas,livinc,Social and Economic Factors, 0.719 , 0.507 , 0.599 , 0.710 , 0.618 , 0.434 , 0.596 ,0.88,1354177,751961,17141,144570,40659,2615074,4923582, 0.282 ,34,60,2,4,,,,,,,,,,, 0.283 , 0.498 , 0.633 , 0.836 ,1788752,1664009,1245670,214414,4912844, 0.281 ,35
49,UT,Utah,livinc,Social and Economic Factors, 0.692 , 0.483 , 0.400 , 0.569 , 0.601 , 0.445 , 0.654 ,0.88,267805,6519,7872,18369,5111,86921,392596, 0.225 ,20,56,4,2,,,,,,,,,,, 0.359 , 0.577 , 0.653 , 0.783 ,74585,119911,143020,53926,391442, 0.225 ,21
50,VT,Vermont,livinc,Social and Economic Factors, 0.662 , 0.520 , 0.255 , 0.470 , 0.525 , 0.594 , 0.653 ,0.88,90035,1315,920,2464,1733,1718,98186, 0.224 ,19,38,5,2,,,,,,,,,,, 0.336 , 0.563 , 0.653 , 0.796 ,18385,40925,25540,13244,98095, 0.224 ,19
51,VA,Virginia,livinc,Social and Economic Factors, 0.738 , 0.547 , 0.611 , 0.772 , 0.676 , 0.560 , 0.691 ,0.88,528470,344761,4132,39463,15855,134662,1067344, 0.188 ,10,87,2,1,,,,,,,,,,, 0.367 , 0.566 , 0.681 , 0.875 ,318862,431522,305000,6965,1062348, 0.187 ,10
53,WA,Washington,livinc,Social and Economic Factors, 0.713 , 0.521 , 0.438 , 0.718 , 0.625 , 0.447 , 0.678 ,0.88,608647,60694,26045,71320,29373,188460,984539, 0.201 ,12,64,4,2,,,,,,,,,,, 0.371 , 0.581 , 0.658 , 0.843 ,227757,327757,365450,59767,980730, 0.200 ,13
54,WV,West Virginia,livinc,Social and Economic Factors, 0.549 , 0.405 , 0.354 , 0.648 , 0.436 , 0.410 , 0.542 ,0.88,399474,19551,1510,2283,4687,7002,434507, 0.336 ,47,38,3,5,,,,,,,,,,, 0.255 , 0.489 , 0.579 , 0.806 ,113508,204414,98611,18653,435187, 0.336 ,48
55,WI,Wisconsin,livinc,Social and Economic Factors, 0.696 , 0.357 , 0.407 , 0.636 , 0.568 , 0.377 , 0.659 ,0.88,612777,106594,14607,21468,9165,93414,858024, 0.220 ,16,36,5,2,,,,,,,,,,, 0.336 , 0.571 , 0.662 , 0.843 ,175516,376453,265577,40815,858362, 0.220 ,17
56,WY,Wyoming,livinc,Social and Economic Factors, 0.694 , 0.610 , 0.395 , 0.575 , 0.593 , 0.538 , 0.674 ,0.88,62879,1119,3272,1134,1130,10321,79855, 0.205 ,14,68,3,2,,,,,,,,,,, 0.406 , 0.606 , 0.678 , 0.809 ,13279,30364,29127,7231,80001, 0.206 ,15
