fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
19,IA,Iowa,youthsw,Social and Economic Factors, 0.930 , 0.844 , 0.777 , 0.931 , 0.892 , 0.882 , 0.921 ,1.00,22893,3012,323,1079,1057,3585,31949, 0.079 ,2,97,4,1,,,,,,,,,,,,,,,,,,,,,
20,KS,Kansas,youthsw,Social and Economic Factors, 0.910 , 0.831 , 0.775 , 0.937 , 0.870 , 0.869 , 0.897 ,1.00,23842,4497,892,894,1771,7213,39110, 0.103 ,9,85,3,2,,,,,,,,,,,,,,,,,,,,,
21,KY,Kentucky,youthsw,Social and Economic Factors, 0.859 , 0.813 ,, 0.891 , 0.852 , 0.869 , 0.855 ,1.00,61611,10499,,977,1917,2982,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LA,Louisiana,youthsw,Social and Economic Factors, 0.862 , 0.768 , 0.789 , 0.942 , 0.856 , 0.825 , 0.825 ,1.00,41737,50976,885,655,1385,5375,101013, 0.175 ,39,34,3,5,,,,,,,,,,,,,,,,,,,,,
23,ME,Maine,youthsw,Social and Economic Factors, 0.899 , 0.850 , 0.796 , 0.970 , 0.859 , 0.933 , 0.898 ,1.00,13135,531,229,83,490,238,14707, 0.102 ,7,88,3,2,,,,,,,,,,,,,,,,,,,,,
24,MD,Maryland,youthsw,Social and Economic Factors, 0.914 , 0.831 , 0.935 , 0.940 , 0.899 , 0.888 , 0.885 ,1.00,28796,39029,109,2452,2350,8681,81418, 0.115 ,15,88,2,2,,,,,,,,,,,,,,,,,,,,,
25,MA,Massachusetts,youthsw,Social and Economic Factors, 0.935 , 0.884 , 0.724 , 0.952 , 0.917 , 0.856 , 0.919 ,1.00,37829,8330,461,3126,1842,18322,69910, 0.081 ,3,82,5,1,,,,,,,,,,,,,,,,,,,,,
26,MI,Michigan,youthsw,Social and Economic Factors, 0.900 , 0.774 , 0.733 , 0.931 , 0.851 , 0.862 , 0.876 ,1.00,88290,46883,2219,3255,5922,11161,157729, 0.125 ,21,58,4,3,,,,,,,,,,,,,,,,,,,,,
27,MN,Minnesota,youthsw,Social and Economic Factors, 0.940 , 0.867 , 0.728 , 0.909 , 0.904 , 0.862 , 0.924 ,1.00,29177,6511,2397,3744,2073,6187,50088, 0.077 ,1,83,5,1,,,,,,,,,,,,,,,,,,,,,
28,MS,Mississippi,youthsw,Social and Economic Factors, 0.871 , 0.795 , 0.662 , 0.934 , 0.836 , 0.775 , 0.834 ,1.00,25152,34388,692,299,851,2892,64273, 0.166 ,38,17,5,5,,,,,,,,,,,,,,,,,,,,,
29,MO,Missouri,youthsw,Social and Economic Factors, 0.898 , 0.815 , 0.781 , 0.945 , 0.892 , 0.891 , 0.886 ,1.00,56523,19673,765,1049,2234,4274,84519, 0.114 ,13,80,3,2,,,,,,,,,,,,,,,,,,,,,
30,MT,Montana,youthsw,Social and Economic Factors, 0.896 ,, 0.646 , 0.931 , 0.884 , 0.886 , 0.877 ,1.00,10554,,3254,123,497,729,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,NE,Nebraska,youthsw,Social and Economic Factors, 0.935 , 0.827 , 0.821 , 0.910 , 0.895 , 0.851 , 0.915 ,1.00,11670,2385,441,669,634,4741,20540, 0.085 ,4,100,3,1,,,,,,,,,,,,,,,,,,,,,
32,NV,Nevada,youthsw,Social and Economic Factors, 0.866 , 0.758 , 0.790 , 0.894 , 0.865 , 0.845 , 0.849 ,1.00,16713,7936,639,2718,1980,19219,49205, 0.151 ,34,57,2,5,,,,,,,,,,,,,,,,,,,,,
33,NH,New Hampshire,youthsw,Social and Economic Factors, 0.917 , 0.850 ,, 0.982 , 0.873 , 0.910 , 0.917 ,1.00,11730,432,,89,449,702,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NJ,New Jersey,youthsw,Social and Economic Factors, 0.918 , 0.806 , 0.801 , 0.939 , 0.897 , 0.866 , 0.890 ,1.00,42583,30796,330,5319,2208,32406,113642, 0.110 ,12,83,3,2,,,,,,,,,,,,,,,,,,,,,
35,NM,New Mexico,youthsw,Social and Economic Factors, 0.863 , 0.793 , 0.715 , 0.929 , 0.894 , 0.843 , 0.836 ,1.00,9937,1173,7685,271,564,23063,42693, 0.164 ,37,34,4,5,,,,,,,,,,,,,,,,,,,,,
36,NY,New York,youthsw,Social and Economic Factors, 0.907 , 0.809 , 0.807 , 0.920 , 0.886 , 0.836 , 0.876 ,1.00,114182,75424,1595,16587,6040,86985,300813, 0.124 ,20,77,2,3,,,,,,,,,,,,,,,,,,,,,
37,NC,North Carolina,youthsw,Social and Economic Factors, 0.891 , 0.828 , 0.740 , 0.916 , 0.865 , 0.873 , 0.871 ,1.00,77442,53060,4061,2958,4315,17449,159285, 0.129 ,25,67,3,3,,,,,,,,,,,,,,,,,,,,,
38,ND,North Dakota,youthsw,Social and Economic Factors, 0.938 , 0.949 , 0.689 , 1.000 , 0.914 , 0.917 , 0.925 ,1.00,5444,178,1923,,233,390,,,,70,5,1,,,,,,,,,,,,,,,,,,,,,
39,OH,Ohio,youthsw,Social and Economic Factors, 0.902 , 0.808 , 0.873 , 0.935 , 0.857 , 0.856 , 0.885 ,1.00,103069,40222,338,2236,6002,9286,161153, 0.115 ,14,87,2,2,,,,,,,,,,,,,,,,,,,,,
40,OK,Oklahoma,youthsw,Social and Economic Factors, 0.874 , 0.798 , 0.788 , 0.897 , 0.835 , 0.857 , 0.855 ,1.00,35861,9193,10597,1471,5639,8971,71732, 0.146 ,30,65,2,4,,,,,,,,,,,,,,,,,,,,,
41,OR,Oregon,youthsw,Social and Economic Factors, 0.875 , 0.820 , 0.756 , 0.933 , 0.875 , 0.865 , 0.874 ,1.00,39166,1936,1524,1755,2799,11370,58551, 0.127 ,23,70,3,3,,,,,,,,,,,,,,,,,,,,,
42,PA,Pennsylvania,youthsw,Social and Economic Factors, 0.903 , 0.787 , 0.587 , 0.937 , 0.869 , 0.818 , 0.880 ,1.00,105167,44076,934,3814,4749,26045,184785, 0.120 ,17,0,5,3,,,,,,,,,,,,,,,,,,,,,
44,RI,Rhode Island,youthsw,Social and Economic Factors, 0.926 , 0.872 ,, 0.955 , 0.879 , 0.821 , 0.902 ,1.00,6890,1284,,314,515,4763,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,SC,South Carolina,youthsw,Social and Economic Factors, 0.889 , 0.807 , 0.826 , 0.948 , 0.884 , 0.857 , 0.862 ,1.00,38113,36601,416,582,1553,5531,82796, 0.138 ,28,68,2,4,,,,,,,,,,,,,,,,,,,,,
46,SD,South Dakota,youthsw,Social and Economic Factors, 0.942 , 0.958 , 0.618 , 0.929 , 0.796 , 0.869 , 0.902 ,1.00,4732,104,4406,155,610,626,10633, 0.100 ,6,18,5,2,,,,,,,,,,,,,,,,,,,,,
47,TN,Tennessee,youthsw,Social and Economic Factors, 0.877 , 0.791 , 0.893 , 0.918 , 0.869 , 0.871 , 0.859 ,1.00,67047,34593,250,1204,2272,6254,111621, 0.141 ,29,68,2,4,,,,,,,,,,,,,,,,,,,,,
48,TX,Texas,youthsw,Social and Economic Factors, 0.889 , 0.831 , 0.809 , 0.929 , 0.895 , 0.843 , 0.862 ,1.00,138717,77589,2307,10257,6262,252389,487519, 0.138 ,27,70,2,4,,,,,,,,,,,,,,,,,,,,,
49,UT,Utah,youthsw,Social and Economic Factors, 0.904 , 0.834 , 0.711 , 0.892 , 0.892 , 0.881 , 0.897 ,1.00,31478,905,1377,1742,1281,7901,44683, 0.103 ,8,71,4,2,,,,,,,,,,,,,,,,,,,,,
50,VT,Vermont,youthsw,Social and Economic Factors, 0.902 , 0.925 ,, 0.970 , 0.969 , 0.930 , 0.906 ,1.00,7240,128,,74,59,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,VA,Virginia,youthsw,Social and Economic Factors, 0.910 , 0.844 , 0.851 , 0.945 , 0.902 , 0.892 , 0.896 ,1.00,53218,34799,444,3333,3604,11703,107102, 0.105 ,11,98,2,2,,,,,,,,,,,,,,,,,,,,,
53,WA,Washington,youthsw,Social and Economic Factors, 0.883 , 0.833 , 0.723 , 0.924 , 0.878 , 0.847 , 0.876 ,1.00,60548,6206,3616,5878,6094,21818,104161, 0.124 ,19,64,4,3,,,,,,,,,,,,,,,,,,,,,
54,WV,West Virginia,youthsw,Social and Economic Factors, 0.828 , 0.806 ,, 0.989 , 0.825 , 0.873 , 0.829 ,1.00,32302,1972,,27,844,557,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,WI,Wisconsin,youthsw,Social and Economic Factors, 0.928 , 0.765 , 0.791 , 0.921 , 0.866 , 0.861 , 0.906 ,1.00,39057,13807,1504,2235,2254,8331,67189, 0.094 ,5,78,4,1,,,,,,,,,,,,,,,,,,,,,
56,WY,Wyoming,youthsw,Social and Economic Factors, 0.900 ,, 0.653 ,, 0.857 , 0.880 , 0.887 ,1.00,5623,,644,,243,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,
