fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.767,0.609,0.669,0.72,0.676,0.667,0.751,0.87,139099,31498.0,678.0,2586,3232,6929,184021.0,0.117,12.0,74.0,3.0,2.0
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32.0,0.794,0.573,0.715,0.737,0.676,0.638,0.721,0.87,74657,134980.0,1263.0,2899,3060,14276,231135.0,0.147,24.0,68.0,2.0,3.0
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.722,0.522,0.683,0.657,0.67,0.627,0.718,0.87,73049,1230.0,491.0,871,1452,1317,78409.0,0.15,27.0,56.0,3.0,3.0
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.743,0.602,0.668,0.689,0.637,0.571,0.687,0.87,150160,159091.0,924.0,19836,7711,38934,376656.0,0.181,37.0,63.0,2.0,4.0
25,MA,Massachusetts,Social and Economic Factors,2021,33.0,32.0,0.693,0.513,0.41,0.662,0.6,0.499,0.663,0.87,338361,50993.0,1217.0,25988,7981,76798,501338.0,0.205,39.0,0.0,4.0,5.0
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.761,0.556,0.688,0.763,0.622,0.694,0.731,0.87,309927,144576.0,2852.0,8835,12351,20181,498722.0,0.138,20.0,64.0,3.0,2.0
27,MN,Minnesota,Social and Economic Factors,2021,25.0,25.0,0.775,0.504,0.657,0.733,0.633,0.602,0.752,0.87,164026,35057.0,3423.0,9038,5888,17030,234462.0,0.116,11.0,33.0,4.0,2.0
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.798,0.606,0.674,0.703,0.58,0.691,0.726,0.87,43191,91621.0,768.0,1432,1971,3410,142394.0,0.142,22.0,64.0,3.0,3.0
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.772,0.573,0.664,0.745,0.668,0.691,0.746,0.87,176625,70700.0,1946.0,4096,5810,10604,269780.0,0.122,14.0,69.0,3.0,2.0
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.791,0.565,0.664,0.742,0.689,0.694,0.773,0.87,45130,8709.0,728.0,1379,1350,8009,65304.0,0.096,6.0,63.0,3.0,1.0
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.698,0.495,0.692,0.704,0.635,0.611,0.663,0.87,102658,29842.0,1482.0,12092,4968,51484,202526.0,0.206,40.0,50.0,2.0,5.0
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.659,0.501,0.455,0.692,0.551,0.483,0.613,0.87,403681,140543.0,1548.0,43720,10367,183407,783266.0,0.255,45.0,16.0,3.0,5.0
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.745,0.658,0.766,0.75,0.721,0.672,0.715,0.87,41933,2818.0,4553.0,1056,1205,56171,107735.0,0.154,29.0,82.0,1.0,3.0
36,NY,New York,Social and Economic Factors,2021,43.0,43.0,0.685,0.498,0.608,0.553,0.566,0.468,0.617,0.87,794700,343587.0,4003.0,149861,25469,412220,1729840.0,0.252,44.0,29.0,3.0,5.0
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21.0,0.767,0.584,0.708,0.76,0.631,0.611,0.718,0.87,251073,209931.0,5463.0,8446,9987,53590,538491.0,0.151,28.0,64.0,3.0,3.0
38,ND,North Dakota,Social and Economic Factors,2021,41.2,45.7,0.816,0.623,0.726,0.7,0.76,0.719,0.805,0.87,12663,1220.0,1484.0,420,387,888,17062.0,0.063,1.0,79.0,3.0,1.0
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.769,0.574,0.605,0.75,0.649,0.643,0.741,0.87,352786,149180.0,1838.0,8384,12073,24135,548397.0,0.127,15.0,56.0,3.0,2.0
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.779,0.601,0.734,0.733,0.744,0.687,0.755,0.87,87874,24875.0,10784.0,2991,8022,15657,150203.0,0.113,10.0,82.0,2.0,2.0
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.749,0.566,0.56,0.7,0.622,0.531,0.719,0.87,460115,133797.0,1886.0,20195,10833,73515,700340.0,0.149,25.0,31.0,4.0,3.0
45,SC,South Carolina,Social and Economic Factors,2021,21.0,24.5,0.774,0.608,0.687,0.726,0.65,0.645,0.725,0.87,111347,113307.0,933.0,2986,3566,13898,246037.0,0.143,23.0,73.0,2.0,3.0
46,SD,South Dakota,Social and Economic Factors,2021,44.0,39.6,0.801,0.726,0.641,0.706,0.722,0.667,0.787,0.87,18531,580.0,3524.0,470,661,1233,25000.0,0.081,4.0,79.0,3.0,1.0
51,VA,Virginia,Social and Economic Factors,2021,22.3,23.4,0.76,0.592,0.658,0.707,0.659,0.588,0.714,0.87,217139,146294.0,1369.0,24273,10525,49850,449450.0,0.154,30.0,64.0,2.0,3.0
53,WA,Washington,Social and Economic Factors,2021,30.7,32.0,0.706,0.522,0.656,0.68,0.629,0.614,0.688,0.87,323610,29959.0,5300.0,35764,17316,51307,463257.0,0.18,36.0,56.0,2.0,4.0
54,WV,West Virginia,Social and Economic Factors,2021,29.3,24.0,0.801,0.629,0.656,0.759,0.654,0.68,0.793,0.87,42127,5195.0,312.0,492,1293,1271,50689.0,0.076,2.0,64.0,4.0,1.0
55,WI,Wisconsin,Social and Economic Factors,2021,38.1,37.5,0.753,0.49,0.674,0.737,0.664,0.609,0.731,0.87,218448,42336.0,3007.0,4934,4155,23129,296009.0,0.137,19.0,43.0,4.0,2.0
56,WY,Wyoming,Social and Economic Factors,2021,33.8,28.2,0.79,0.735,0.789,0.729,0.731,0.706,0.782,0.87,14492,219.0,208.0,189,421,2358,17888.0,0.086,5.0,100.0,1.0,1.0
