fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21,0.942,0.883,0.892,0.939,0.882,0.927,0.927,0.99,137752,100757,4045,6357,7435,23783,280128,0.059,36,45,2,4
38,ND,North Dakota,Social and Economic Factors,2021,41.2,45.7,0.977,0.956,0.904,0.969,0.951,0.965,0.973,0.99,3376,296,1127,100,223,242,5365,0.014,1,100,2,1
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.947,0.857,0.852,0.943,0.87,0.914,0.934,0.99,182170,82368,978,5062,10899,13135,294612,0.052,26,27,5,3
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.951,0.894,0.913,0.948,0.908,0.942,0.941,0.99,42832,11060,8457,1622,7926,7210,79106,0.045,17,65,2,2
41,OR,Oregon,Social and Economic Factors,2022,13.1,,0.935,0.847,0.876,0.934,0.869,0.922,0.93,0.99,75746,4664,1695,4757,6619,15136,108617,0.057,32,31,4,4
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.947,0.861,0.877,0.935,0.88,0.884,0.934,0.99,192546,70640,705,10288,7786,36566,318530,0.052,25,35,4,3
44,RI,Rhode Island,Social and Economic Factors,2021,50,,0.942,0.883,0.859,0.943,0.868,0.89,0.931,0.99,17886,2839,237,736,1086,6786,29569,0.056,30,32,4,4
45,SC,South Carolina,Social and Economic Factors,2021,21,24.5,0.942,0.881,0.863,0.937,0.896,0.934,0.925,0.99,65393,61690,797,1779,2563,6255,138476,0.062,41,39,2,4
46,SD,South Dakota,Social and Economic Factors,2021,44,39.6,0.974,0.954,0.764,0.934,0.89,0.942,0.959,0.99,4848,237,5165,308,791,568,11917,0.027,3,0,5,1
47,TN,Tennessee,Social and Economic Factors,2021,47.2,,0.942,0.887,0.923,0.955,0.885,0.942,0.932,0.99,102532,50578,453,1689,4113,6539,165904,0.054,28,52,2,3
48,TX,Texas,Social and Economic Factors,2021,20.3,,0.952,0.907,0.935,0.949,0.918,0.936,0.94,0.99,199889,120520,1519,23254,11382,237487,594052,0.046,18,68,1,2
49,UT,Utah,Social and Economic Factors,2014,46,,0.958,0.915,0.87,0.928,0.929,0.946,0.954,0.99,32018,1011,1328,2714,1238,7612,45921,0.033,6,68,3,1
50,VT,Vermont,Social and Economic Factors,2021,43.8,45,0.956,0.959,,0.983,0.91,0.934,0.955,0.99,9450,95,,17,358,280,,,,,,
51,VA,Virginia,Social and Economic Factors,2021,22.3,23.4,0.953,0.909,0.938,0.948,0.907,0.943,0.943,0.99,88495,58311,430,10637,7164,16143,181180,0.044,15,70,2,2
53,WA,Washington,Social and Economic Factors,2021,30.7,32,0.944,0.91,0.861,0.944,0.897,0.928,0.938,0.99,106018,9592,4017,13616,11263,22732,167238,0.048,20,52,3,2
54,WV,West Virginia,Social and Economic Factors,2021,29.3,24,0.931,0.887,,0.97,0.861,0.922,0.928,0.99,40327,2920,,121,961,702,,,,,,
55,WI,Wisconsin,Social and Economic Factors,2021,38.1,37.5,0.962,0.859,0.922,0.943,0.902,0.933,0.954,0.99,61417,18603,1333,3193,3208,8847,96602,0.033,7,60,4,1
56,WY,Wyoming,Social and Economic Factors,2021,33.8,28.2,0.955,0.892,0.843,0.94,0.921,0.936,0.95,0.99,7960,286,659,139,305,1268,10617,0.036,10,50,4,1
